day,monkey,value,type
0,DG3V,3000,gRNA
0,DG4i,3000,gRNA
0,DGCX,3000,gRNA
0,DGRX,3000,gRNA
0,DHGF,3000,gRNA
0,DHKM,3000,gRNA
1,DG3V,882565383.1,gRNA
1,DG4i,57151105.36,gRNA
1,DGCX,15683555.21,gRNA
1,DGRX,61616583.5,gRNA
1,DHGF,144005722,gRNA
1,DHKM,932147.5038,gRNA
2,DG3V,88817702.25,gRNA
2,DG4i,33176632.36,gRNA
2,DGCX,9127048.082,gRNA
2,DGRX,183298943.2,gRNA
2,DHGF,20286170.56,gRNA
2,DHKM,4798403.696,gRNA
3,DG3V,682939.6952,gRNA
3,DG4i,1490992.445,gRNA
3,DGCX,3699996.692,gRNA
3,DGRX,8800762.124,gRNA
3,DHGF,6108370.468,gRNA
3,DHKM,161672.1524,gRNA
4,DG3V,690964.831,gRNA
4,DG4i,301665.097,gRNA
4,DGCX,71956.657,gRNA
4,DGRX,807873.949,gRNA
4,DHGF,613469.211,gRNA
4,DHKM,1904281.62,gRNA
7,DG3V,3000,gRNA
7,DG4i,8672.21447,gRNA
7,DGCX,3000,gRNA
7,DGRX,11162.2268,gRNA
7,DHGF,51794.7342,gRNA
7,DHKM,46943.8732,gRNA
10,DG3V,3000,gRNA
10,DG4i,3000,gRNA
10,DGCX,11090.7618,gRNA
10,DGRX,3000,gRNA
10,DHGF,3000,gRNA
10,DHKM,3000,gRNA
0,DG3V,0,CD8_unadjusted
0,DG4i,0,CD8_unadjusted
0,DGCX,0,CD8_unadjusted
0,DGRX,0,CD8_unadjusted
0,DHGF,0,CD8_unadjusted
0,DHKM,0.09,CD8_unadjusted
10,DG3V,17.93,CD8_unadjusted
10,DG4i,2.45,CD8_unadjusted
10,DGCX,5.75,CD8_unadjusted
10,DGRX,0.79,CD8_unadjusted
10,DHGF,4.39,CD8_unadjusted
10,DHKM,3.6,CD8_unadjusted
4,DG3V,0,CD8_unadjusted
4,DG4i,0,CD8_unadjusted
4,DGCX,0,CD8_unadjusted
4,DGRX,0,CD8_unadjusted
4,DHGF,0.17,CD8_unadjusted
4,DHKM,0,CD8_unadjusted
7,DG3V,1.21,CD8_unadjusted
7,DG4i,0.05,CD8_unadjusted
7,DGCX,0,CD8_unadjusted
7,DGRX,0,CD8_unadjusted
7,DHGF,0.96,CD8_unadjusted
7,DHKM,1.92,CD8_unadjusted
0,DG3V,0.05,CD4_unadjusted
0,DG4i,0.46,CD4_unadjusted
0,DGCX,0.17,CD4_unadjusted
0,DGRX,0,CD4_unadjusted
0,DHGF,0,CD4_unadjusted
